t,theta_ref_deg,theta_deg,omega_degps,alpha,P_pos_sp,P_pos,P_neg_sp,P_neg,F_req,F_pos,F_neg,F_net,tau_act,tau_grav
0,10,10,1.40245e-14,1.22387e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.002,10,10,2.78281e-14,1.20459e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.004,10,10,4.14144e-14,1.18562e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.006,10,10,5.47867e-14,1.16695e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.008,10,10,6.79484e-14,1.14858e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.01,10,10,8.09028e-14,1.13049e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.012,10,10,9.36533e-14,1.11269e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.014,10,10,1.06203e-13,1.09516e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.016,10,10,1.18555e-13,1.07792e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.018,10,10,1.30712e-13,1.06094e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.02,10,10,1.42678e-13,1.04423e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.022,10,10,1.54456e-13,1.02779e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.024,10,10,1.66048e-13,1.0116e-13,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.026,10,10,1.77458e-13,9.95672e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.028,10,10,1.88688e-13,9.79992e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.03,10,10,1.99741e-13,9.64559e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.032,10,10,2.1062e-13,9.49369e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.034,10,10,2.21327e-13,9.34419e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.036,10,10,2.31866e-13,9.19703e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.038,10,10,2.42239e-13,9.0522e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.04,10,10,2.52449e-13,8.90964e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.042,10,10,2.62498e-13,8.76934e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.044,10,10,2.72389e-13,8.63124e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.046,10,10,2.82124e-13,8.49531e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.048,10,10,2.91705e-13,8.36153e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.05,10,10,3.01136e-13,8.22985e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.052,10,10,3.10418e-13,8.10024e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.054,10,10,3.19554e-13,7.97268e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.056,10,10,3.28546e-13,7.84713e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.058,10,10,3.37397e-13,7.72355e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.06,10,10,3.46108e-13,7.60192e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.062,10,10,3.54682e-13,7.4822e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.064,10,10,3.63121e-13,7.36437e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.066,10,10,3.71427e-13,7.2484e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.068,10,10,3.79602e-13,7.13425e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.07,10,10,3.87649e-13,7.0219e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.072,10,10,3.95568e-13,6.91132e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.074,10,10,4.03363e-13,6.80248e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.076,10,10,4.10535e-13,6.25826e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.078,10,10,4.17093e-13,5.72261e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.08,10,10,4.23547e-13,5.63249e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.082,10,10,4.29399e-13,5.10669e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.084,10,10,4.34658e-13,4.58918e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.086,10,10,4.39333e-13,4.07981e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.088,10,10,4.43934e-13,4.01556e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.09,10,10,4.47962e-13,3.51523e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.092,10,10,4.51426e-13,3.02278e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.094,10,10,4.54335e-13,2.53808e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.096,10,10,4.57197e-13,2.49811e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.098,10,10,4.59514e-13,2.02167e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.1,10,10,4.61293e-13,1.55274e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.102,10,10,4.62544e-13,1.09119e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.104,10,10,4.63774e-13,1.07401e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.106,10,10,4.64485e-13,6.19996e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.108,10,10,4.64683e-13,1.73137e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.11,10,10,4.64378e-13,-2.66685e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.112,10,10,4.64077e-13,-2.62485e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.114,10,10,4.6328e-13,-6.95447e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.116,10,10,4.61995e-13,-1.12159e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.118,10,10,4.6073e-13,-1.10393e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.12,10,10,4.58984e-13,-1.52364e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.122,10,10,4.56764e-13,-1.93674e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.124,10,10,4.54079e-13,-2.34334e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.126,10,10,4.51436e-13,-2.30643e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.128,10,10,4.48334e-13,-2.70721e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.13,10,10,4.4478e-13,-3.10167e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.132,10,10,4.4078e-13,-3.48992e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.134,10,10,4.36844e-13,-3.43496e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.136,10,10,4.32469e-13,-3.81796e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.138,10,10,4.27662e-13,-4.19493e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.14,10,10,4.2243e-13,-4.56597e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.142,10,10,4.1728e-13,-4.49406e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.144,10,10,4.11711e-13,-4.86038e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.146,10,10,4.05728e-13,-5.22094e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.148,10,10,3.99338e-13,-5.57582e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.15,10,10,3.9305e-13,-5.48801e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.152,10,10,3.8686e-13,-5.40158e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.154,10,10,3.80768e-13,-5.31652e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.156,10,10,3.74771e-13,-5.23279e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.158,10,10,3.68869e-13,-5.15039e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.16,10,10,3.6306e-13,-5.06928e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.162,10,10,3.57343e-13,-4.98945e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.164,10,10,3.51715e-13,-4.91087e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.166,10,10,3.46177e-13,-4.83354e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.168,10,10,3.40725e-13,-4.75742e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.17,10,10,3.35359e-13,-4.6825e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.172,10,10,3.30078e-13,-4.60876e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.174,10,10,3.2488e-13,-4.53618e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.176,10,10,3.19764e-13,-4.46474e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.178,10,10,3.14728e-13,-4.39443e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.18,10,10,3.09772e-13,-4.32523e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.182,10,10,3.04893e-13,-4.25711e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.184,10,10,3.00092e-13,-4.19007e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.186,10,10,2.95366e-13,-4.12409e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.188,10,10,2.90715e-13,-4.05914e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.19,10,10,2.86136e-13,-3.99522e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.192,10,10,2.8163e-13,-3.9323e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.194,10,10,2.77195e-13,-3.87038e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.196,10,10,2.7283e-13,-3.80942e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.198,10,10,2.68533e-13,-3.74943e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.2,10,10,2.64305e-13,-3.69039e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.202,10,10,2.60142e-13,-3.63227e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.204,10,10,2.56046e-13,-3.57507e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.206,10,10,2.52013e-13,-3.51877e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.208,10,10,2.48045e-13,-3.46336e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.21,10,10,2.44138e-13,-3.40882e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.212,10,10,2.40294e-13,-3.35513e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.214,10,10,2.3651e-13,-3.3023e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.216,10,10,2.32785e-13,-3.25029e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.218,10,10,2.29119e-13,-3.19911e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.22,10,10,2.25511e-13,-3.14873e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.222,10,10,2.2196e-13,-3.09914e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.224,10,10,2.18464e-13,-3.05033e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.226,10,10,2.15024e-13,-3.0023e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.228,10,10,2.11638e-13,-2.95502e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.23,10,10,2.08305e-13,-2.90848e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.232,10,10,2.05024e-13,-2.86268e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.234,10,10,2.01796e-13,-2.8176e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.236,10,10,1.98618e-13,-2.77323e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.238,10,10,1.9549e-13,-2.72955e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.24,10,10,1.92411e-13,-2.68657e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.242,10,10,1.89381e-13,-2.64426e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.244,10,10,1.86399e-13,-2.60262e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.246,10,10,1.83463e-13,-2.56163e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.248,10,10,1.80574e-13,-2.52129e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.25,10,10,1.7773e-13,-2.48159e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.252,10,10,1.74932e-13,-2.44251e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.254,10,10,1.72177e-13,-2.40404e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.256,10,10,1.69465e-13,-2.36618e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.258,10,10,1.66797e-13,-2.32892e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.26,10,10,1.6417e-13,-2.29224e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.262,10,10,1.61584e-13,-2.25615e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.264,10,10,1.5904e-13,-2.22062e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.266,10,10,1.56535e-13,-2.18564e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.268,10,10,1.5407e-13,-2.15123e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.27,10,10,1.51644e-13,-2.11735e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.272,10,10,1.49256e-13,-2.084e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.274,10,10,1.46905e-13,-2.05118e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.276,10,10,1.44592e-13,-2.01888e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.278,10,10,1.42315e-13,-1.98709e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.28,10,10,1.40074e-13,-1.9558e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.282,10,10,1.37868e-13,-1.925e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.284,10,10,1.35697e-13,-1.89468e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.286,10,10,1.3356e-13,-1.86484e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.288,10,10,1.31456e-13,-1.83548e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.29,10,10,1.29386e-13,-1.80657e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.292,10,10,1.27349e-13,-1.77812e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.294,10,10,1.25343e-13,-1.75012e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.296,10,10,1.23369e-13,-1.72256e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.298,10,10,1.21426e-13,-1.69543e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.3,10,10,1.19514e-13,-1.66873e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.302,10,10,1.17632e-13,-1.64245e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.304,10,10,1.1578e-13,-1.61659e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.306,10,10,1.13956e-13,-1.59113e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.308,10,10,1.12162e-13,-1.56607e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.31,10,10,1.10395e-13,-1.54141e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.312,10,10,1.08657e-13,-1.51714e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.314,10,10,1.06946e-13,-1.49324e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.316,10,10,1.05262e-13,-1.46973e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.318,10,10,1.03604e-13,-1.44658e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.32,10,10,1.01972e-13,-1.4238e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.322,10,10,1.00366e-13,-1.40138e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.324,10,10,9.87858e-14,-1.37931e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.326,10,10,9.72302e-14,-1.35759e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.328,10,10,9.5699e-14,-1.33621e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.33,10,10,9.41919e-14,-1.31517e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.332,10,10,9.27086e-14,-1.29446e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.334,10,10,9.12486e-14,-1.27407e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.336,10,10,8.98116e-14,-1.25401e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.338,10,10,8.83973e-14,-1.23426e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.34,10,10,8.70052e-14,-1.21482e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.342,10,10,8.5635e-14,-1.19569e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.344,10,10,8.42864e-14,-1.17686e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.346,10,10,8.29591e-14,-1.15833e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.348,10,10,8.16526e-14,-1.14009e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.35,10,10,8.03668e-14,-1.12213e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.352,10,10,7.91012e-14,-1.10446e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.354,10,10,7.78555e-14,-1.08707e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.356,10,10,7.66294e-14,-1.06995e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.358,10,10,7.54226e-14,-1.0531e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.36,10,10,7.42349e-14,-1.03651e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.362,10,10,7.30658e-14,-1.02019e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.364,10,10,7.19152e-14,-1.00413e-14,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.366,10,10,7.07827e-14,-9.88312e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.368,10,10,6.9668e-14,-9.72748e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.37,10,10,6.85708e-14,-9.57429e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.372,10,10,6.7491e-14,-9.42352e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.374,10,10,6.64281e-14,-9.27512e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.376,10,10,6.5382e-14,-9.12905e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.378,10,10,6.43524e-14,-8.98529e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.38,10,10,6.3339e-14,-8.84379e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.382,10,10,6.23415e-14,-8.70451e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.384,10,10,6.13597e-14,-8.56744e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.386,10,10,6.03934e-14,-8.43252e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.388,10,10,5.94424e-14,-8.29972e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
0.39,10,10,5.85063e-14,-8.16902e-15,101.976,101.976,100.674,100.674,2.55523,1.27762,1.27762,2.55523,0.127762,0.127762
